Trt,Yield,,EUE,,NUE,,yield_scaled_agc_risk,,yield_scaled_c_footprint,,NEY,total_agc_risk,total_c_footprint,
1,12.2906132,,1.011779989,,177.1273826,,27.32886637,,0.070978758,,174.6446275,331944.6205,867.2612281,
2,1.17%,,1.16%,,1.18%,,-1.16%,,-1.20%,,1.25%,0.00%,0.00%,
3,-2.39%,,2.06%,,-2.37%,,-21.37%,,-0.48%,,-2.24%,-23.06%,-2.85%,
4,-0.87%,,-12.84%,,-19.49%,,1.38%,,21.28%,,-2.04%,0.00%,19.31%,
5,-0.67%,,-1.14%,,-1.97%,,0.81%,,1.25%,,-0.75%,0.00%,0.56%,
6,-2.82%,,-2.68%,,-2.78%,,3.50%,,3.19%,,-3.01%,-0.05%,-0.08%,
7,12.579019,,0.948272564,,150.3429025,,22.95421133,,0.080030914,,177.6513682,286058.4055,996.908696,
8,-4.90%,,-2.97%,,-4.10%,,-5.79%,,4.56%,,-5.15%,-10.78%,-1.00%,
9,0.60%,,-1.79%,,0.10%,,15.08%,,0.57%,,0.46%,15.98%,1.48%,
10,-0.70%,,11.41%,,18.22%,,-1.87%,,-14.00%,,0.21%,-2.89%,-14.33%,
11,2.72%,,0.99%,,-0.49%,,-5.91%,,-1.33%,,2.83%,-2.89%,1.97%,
12,2.08%,,2.40%,,1.32%,,-5.23%,,-2.86%,,2.27%,-2.83%,-0.20%,
